Time,Right sensor values,Left sensor values,R1,R2,R3,R4,R5,R6,R7,R8,L1,L2,L3,L4,L5,L6,L7,L8,Grip Position,Robot State,Robot joint positions,Total product count,Total good product count,Bad product count,Gripper use number,Screw Tool use number 
2022-03-03 18:44:15.340529,0.35254901960784313,0.12509803921568627,9,9,8,8,16,0,6,6,5,6,3,2,2,2,1,1,0,0,"[48.81493, -9.119407, 78.00558, 20.83278, 89.80111, -221.28]",2,0,253,0,0
2022-03-03 18:44:15.395338,0.36960784313725487,0.12509803921568627,9,9,8,8,9,9,6,7,5,6,3,2,2,2,1,1,220,gripper set,"[48.81493, -9.119407, 78.00558, 20.83278, 89.80111, -221.28]",2,0,253,0,0
2022-03-03 18:44:15.416168,1.796862745098039,0.13647058823529412,9,9,8,8,9,9,6,7,4,5,2,1,3,3,2,2,220,gripper set,"[48.81529, -9.119407, 78.00558, 20.83278, 89.80111, -221.28]",2,0,253,0,0
2022-03-03 18:44:15.440416,0.36960784313725487,0.12509803921568627,9,9,4,8,144,0,6,6,4,5,2,1,3,3,2,2,220,gripper set,"[48.81529, -9.119407, 78.00558, 20.83278, 89.80111, -221.28]",2,0,253,0,0
2022-03-03 18:44:15.462525,0.34117647058823525,0.22745098039215683,9,9,4,8,9,9,6,6,5,6,5,5,3,3,6,7,220,gripper set,"[48.81529, -9.119407, 78.00558, 20.83278, 89.80111, -221.28]",2,0,253,0,0
2022-03-03 18:44:15.481476,0.15352941176470586,0.22745098039215683,9,8,3,3,9,9,2,2,5,6,5,5,3,3,6,7,220,gripper set,"[48.81493, -9.119407, 78.00558, 20.83278, 89.80111, -221.28]",2,0,253,0,0
2022-03-03 18:44:15.506847,0.25588235294117645,0.22745098039215683,9,8,4,4,16,253,0,1,5,6,5,5,3,3,6,7,220,gripper set,"[48.81493, -9.119407, 78.00558, 20.83278, 89.80111, -221.28]",2,0,253,0,0
2022-03-03 18:44:15.531991,0.25019607843137254,0.22745098039215683,9,8,4,4,9,9,0,1,5,6,5,5,3,3,6,7,220,gripper set,"[48.81493, -9.119407, 78.00558, 20.83278, 89.80111, -221.28]",2,0,253,0,0
2022-03-03 18:44:15.555619,1.796862745098039,0.22745098039215683,9,9,8,8,9,9,6,7,5,6,5,5,3,3,6,7,220,gripper set,"[48.81493, -9.119407, 78.00558, 20.83278, 89.80111, -221.28]",2,0,253,0,0
2022-03-03 18:44:15.580399,0.36960784313725487,0.22745098039215683,9,9,8,8,144,77,6,7,5,6,5,5,3,3,6,7,220,gripper set,"[48.81529, -9.119407, 78.00558, 20.83278, 89.80111, -221.28]",2,0,253,0,0
2022-03-03 18:44:15.602693,0.36960784313725487,0.22745098039215683,9,9,8,8,9,9,6,7,5,6,5,5,3,3,6,7,220,base point,"[48.81529, -9.119407, 78.00558, 20.83278, 89.80111, -221.28]",2,0,253,1,0
2022-03-03 18:44:15.631574,1.796862745098039,0.22745098039215683,9,9,8,8,9,9,6,7,5,6,5,5,3,3,6,7,220,base point,"[48.81493, -9.119407, 78.00558, 20.83278, 89.80111, -221.28]",2,0,253,1,0
2022-03-03 18:44:15.654983,0.36960784313725487,0.22745098039215683,3,2,2,8,9,9,1,7,0,0,0,1,0,0,0,2,220,base point,"[48.81493, -9.119407, 78.00558, 20.83278, 89.80111, -221.28]",2,0,253,1,0
2022-03-03 18:44:15.676167,0.1080392156862745,0.017058823529411765,3,2,2,3,3,3,1,2,0,0,0,1,0,0,0,2,220,base point,"[48.81493, -9.119407, 78.00558, 20.83278, 89.80111, -221.28]",2,0,253,1,0
2022-03-03 18:44:15.702041,0.1080392156862745,0.005686274509803921,4,1,0,0,0,253,0,0,0,0,0,0,0,0,0,1,220,base point,"[48.81493, -9.119407, 78.00558, 20.83278, 89.80111, -221.28]",2,0,253,1,0
2022-03-03 18:44:15.724593,0.07392156862745097,0.005686274509803921,4,1,0,0,4,4,0,0,0,0,0,0,0,0,0,0,220,base point,"[48.81493, -9.119407, 78.00558, 20.83278, 89.80111, -221.28]",2,0,253,1,0
2022-03-03 18:44:15.750200,0.09666666666666666,0.0,4,1,1,3,4,4,0,0,0,0,0,0,0,0,0,0,220,base point,"[48.81529, -9.119407, 78.00558, 20.83278, 89.80111, -221.28]",2,0,253,1,0
2022-03-03 18:44:15.771664,0.09666666666666666,0.017058823529411765,4,1,0,3,16,253,0,2,1,0,0,0,0,0,0,2,220,base point,"[48.81529, -9.119407, 78.00558, 20.83278, 89.80111, -221.28]",2,0,253,1,0
2022-03-03 18:44:15.792152,0.10235294117647058,0.017058823529411765,4,1,0,3,4,4,0,2,0,0,0,1,0,0,0,2,220,base point,"[48.81493, -9.119407, 78.00558, 20.83278, 89.80111, -221.28]",2,0,253,1,0
2022-03-03 18:44:15.820450,1.6035294117647059,0.017058823529411765,4,1,2,4,4,4,0,2,0,0,0,1,0,0,0,2,220,base point,"[48.81529, -9.119407, 78.00558, 20.83278, 89.80111, -221.2794]",2,0,253,1,0
2022-03-03 18:44:15.847341,1.0007843137254901,0.017058823529411765,4,1,1,3,4,4,0,2,0,0,0,1,0,0,0,2,220,base point,"[48.81493, -9.119407, 78.00558, 20.83278, 89.80111, -221.28]",2,0,253,1,0
2022-03-03 18:44:15.873659,0.1080392156862745,0.017058823529411765,4,1,1,4,4,4,0,2,0,0,0,1,0,0,0,2,220,base point,"[48.81493, -9.119407, 78.00558, 20.83278, 89.80111, -221.28]",2,0,253,1,0
2022-03-03 18:44:15.894208,0.09666666666666666,0.017058823529411765,3,1,1,4,3,3,0,2,0,0,0,1,0,0,0,2,220,base point,"[48.81493, -9.119407, 78.00558, 20.83278, 89.80111, -221.28]",2,0,253,1,0
2022-03-03 18:44:15.919530,0.5003921568627451,0.017058823529411765,3,1,1,4,3,3,0,2,0,0,0,1,0,0,0,2,220,base point,"[48.81493, -9.119407, 78.00558, 20.83278, 89.80111, -221.28]",2,0,253,1,0
2022-03-03 18:44:15.939663,0.09666666666666666,0.017058823529411765,3,1,1,4,3,3,0,2,0,0,0,1,0,0,0,2,220,base point,"[48.81493, -9.119407, 78.00558, 20.83278, 89.80111, -221.28]",2,0,253,1,0
2022-03-03 18:44:15.959845,0.06254901960784313,0.017058823529411765,3,1,1,4,3,3,0,2,0,0,0,1,0,0,0,2,220,base point,"[48.81493, -9.119407, 78.00558, 20.83278, 89.80111, -221.28]",2,0,253,1,0
2022-03-03 18:44:15.974054,0.09666666666666666,0.017058823529411765,3,1,1,3,0,0,0,2,0,0,0,1,0,0,0,2,220,base point,"[48.81493, -9.119407, 78.00558, 20.83278, 89.80111, -221.28]",2,0,253,1,0
2022-03-03 18:44:16.002888,0.09098039215686274,0.017058823529411765,3,1,1,3,3,3,0,2,0,0,0,1,0,0,0,2,220,base point,"[48.81493, -9.119407, 78.00558, 20.83278, 89.80111, -221.28]",2,0,253,1,0
2022-03-03 18:44:16.026560,0.9950980392156862,0.017058823529411765,3,1,1,3,3,3,0,2,0,0,0,0,0,0,0,2,220,base point,"[48.81493, -9.119407, 78.00558, 20.83278, 89.80111, -221.28]",2,0,253,1,0
2022-03-03 18:44:16.052181,0.09098039215686274,0.011372549019607842,3,0,2,4,144,0,0,2,0,0,0,0,0,0,0,2,220,base point,"[48.81493, -9.119407, 78.00558, 20.83278, 89.80111, -221.28]",2,0,253,1,0
2022-03-03 18:44:16.076926,0.09666666666666666,0.017058823529411765,3,0,2,4,3,3,0,2,0,0,0,1,0,0,0,2,220,base point,"[48.81493, -9.119407, 78.00558, 20.83278, 89.80111, -221.28]",2,0,253,1,0
2022-03-03 18:44:16.103456,0.06254901960784313,0.017058823529411765,3,0,2,4,3,3,0,2,0,0,0,1,0,0,0,2,220,base point,"[48.81493, -9.119407, 78.00558, 20.83278, 89.80111, -221.28]",2,0,253,1,0
2022-03-03 18:44:16.129630,0.09666666666666666,0.017058823529411765,3,0,1,4,16,253,0,2,0,0,0,1,0,0,0,2,0,base point,"[48.81493, -9.119407, 78.00558, 20.83278, 89.80111, -221.28]",2,0,253,1,0
2022-03-03 18:44:16.149039,0.09098039215686274,0.017058823529411765,3,0,1,4,3,3,0,2,0,0,0,1,0,0,0,2,0,base point,"[48.81493, -9.119407, 78.00558, 20.83278, 89.80111, -221.28]",2,0,253,1,0
2022-03-03 18:44:16.172678,0.49470588235294116,0.011372549019607842,3,0,1,4,3,3,0,2,0,0,0,0,0,0,0,2,0,base point,"[48.81493, -9.119407, 78.00594, 20.83278, 89.80111, -221.28]",2,0,253,1,0
2022-03-03 18:44:16.196946,0.09098039215686274,0.011372549019607842,3,0,1,4,0,0,0,2,0,0,0,0,0,0,0,2,0,base point,"[48.81493, -9.119407, 78.00594, 20.83278, 89.80111, -221.28]",2,0,253,1,0
2022-03-03 18:44:16.222189,0.09098039215686274,0.017058823529411765,3,0,1,4,3,3,0,2,0,0,0,1,0,0,0,2,200,base point,"[48.81493, -9.119407, 78.00558, 20.83278, 89.80111, -221.28]",2,0,253,1,0
2022-03-03 18:44:16.247275,0.05117647058823529,0.017058823529411765,3,0,1,4,3,3,0,1,0,0,0,1,0,0,0,2,200,base point,"[48.81493, -9.119407, 78.00594, 20.83278, 89.80111, -221.28]",2,0,253,1,0
2022-03-03 18:44:16.273198,0.08529411764705881,0.011372549019607842,3,0,1,4,0,0,0,2,0,0,0,0,0,0,0,2,200,base point,"[48.81493, -9.119762, 78.00808, 20.83222, 89.80111, -221.28]",2,0,253,1,0
2022-03-03 18:44:16.300168,0.09098039215686274,0.011372549019607842,3,0,1,4,0,77,0,1,0,0,0,0,0,0,0,2,200,base point,"[48.81493, -9.131168, 78.07082, 20.79222, 89.80111, -221.28]",2,0,253,1,0
2022-03-03 18:44:16.327591,0.08529411764705881,0.011372549019607842,3,0,1,4,3,3,0,1,0,0,0,0,0,0,0,2,200,base point,"[48.81493, -9.147922, 78.14423, 20.75, 89.80111, -221.28]",2,0,253,1,0
